,Link,Posisi,Perusahaan,Kota,Gaji,Tanggal
1000,https://www.jobstreet.co.id//id/job/staf-packing-dan-produksi-4090421?jobId=jobstreet-id-job-4090421&sectionRank=1001&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Staf Packing dan Produksi,CV.Usaha Abadi Group,Jawa Tengah,N/A,12 hari yang lalu
1001,https://www.jobstreet.co.id//id/job/referigeration-engineer-supervisor-4075490?jobId=jobstreet-id-job-4075490&sectionRank=1002&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,REFERIGERATION ENGINEER SUPERVISOR,PT Dua Putra Utama Makmur Tbk,Jawa Tengah,N/A,17 hari yang lalu
1002,https://www.jobstreet.co.id//id/job/salesman-salesgirl-4096046?jobId=jobstreet-id-job-4096046&sectionRank=1003&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Salesman & Salesgirl,Sejahtera Sunindo Trada (Pati),Jawa Tengah,N/A,9 hari yang lalu
1003,https://www.jobstreet.co.id//id/job/corporate-marketing-sales-4089429?jobId=jobstreet-id-job-4089429&sectionRank=1004&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Corporate Marketing & Sales,Perusahaan Dirahasiakan,"Jakarta Timur, Jawa Tengah, Kalimantan Barat",N/A,Perusahaan Dirahasiakan
1004,https://www.jobstreet.co.id//id/job/it-manager-textile-solo-a-79581-4089223?jobId=jobstreet-id-job-4089223&sectionRank=1005&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,IT Manager - Textile - Solo (A-79581),RGF HR Agent Indonesia,Jawa Tengah,IDR 30 jt - 40 jt  per bulan ,14 hari yang lalu
1005,https://www.jobstreet.co.id//id/job/project-engineer-4072202?jobId=jobstreet-id-job-4072202&sectionRank=1006&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Project Engineer,PT Energasindo Heksa Karya,Semarang,N/A,28 hari yang lalu
1006,https://www.jobstreet.co.id//id/job/admin-4077238?jobId=jobstreet-id-job-4077238&sectionRank=1007&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,ADMIN,CV IBRA KARYA,Semarang,N/A,25 hari yang lalu
1007,https://www.jobstreet.co.id//id/job/demand-manager-central-java-4072848?jobId=jobstreet-id-job-4072848&sectionRank=1008&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Demand Manager (Central Java),PT Oyo Rooms Indonesia,"Purwokerto, Semarang",N/A,27 hari yang lalu
1008,https://www.jobstreet.co.id//id/job/staff-tehnik-4094014?jobId=jobstreet-id-job-4094014&sectionRank=1009&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Staff Tehnik,PT Sunindo Gapura Prima (Solo paragon),Jawa Tengah,N/A,12 hari yang lalu
1009,https://www.jobstreet.co.id//id/job/sales-engineer-4071044?jobId=jobstreet-id-job-4071044&sectionRank=1010&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Sales Engineer,PT Berca Mandiri Perkasa,"Samarinda, Pekanbaru, Semarang",IDR 3 jt - 6 jt  per bulan ,28 hari yang lalu
1010,https://www.jobstreet.co.id//id/job/sales-pelumas-lubricants-4073533?jobId=jobstreet-id-job-4073533&sectionRank=1011&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,SALES PELUMAS / LUBRICANTS,PT Wibisono Bersaudarasukses,"Jakarta Raya, Bandung, Bekasi, Depok, Bogor, Surabaya, Semarang, Surakarta, Tangerang, Serang",IDR 4 jt - 6 jt  per bulan ,27 hari yang lalu
1011,https://www.jobstreet.co.id//id/job/project-executive-jawa-tengah-4072310?jobId=jobstreet-id-job-4072310&sectionRank=1012&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Project Executive Jawa Tengah,PT Gudang Ada Globalindo,"Yogyakarta, Tegal, Semarang, Kudus, Salatiga, Surakarta, Magelang, Purwokerto, Wonogiri , Ungaran",N/A,28 hari yang lalu
1012,https://www.jobstreet.co.id//id/job/mandarin-translator-4074384?jobId=jobstreet-id-job-4074384&sectionRank=1013&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Mandarin Translator,PT Formosa Bag Indonesia,Jawa Tengah,N/A,11 hari yang lalu
1013,https://www.jobstreet.co.id//id/job/sales-promotor-elektronik-4088386?jobId=jobstreet-id-job-4088386&sectionRank=1014&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Sales Promotor Elektronik,PT Mitra Berkat Abadi,"Jakarta Raya, Jawa Barat, Malang, Jawa Tengah, Sleman","IDR 4,6 jt - 5,4 jt  per bulan ",15 hari yang lalu
1014,https://www.jobstreet.co.id//id/job/regional-head-4083541?jobId=jobstreet-id-job-4083541&sectionRank=1015&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Regional Head,PT Transpacific Finance,"Jawa Timur, Jawa Tengah, Jawa Barat",N/A,19 hari yang lalu
1015,https://www.jobstreet.co.id//id/job/sales-and-collection-4089146?jobId=jobstreet-id-job-4089146&sectionRank=1016&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Sales and Collection,Distributor Semen Gresik,Jawa Tengah,"IDR 1,9 jt - 2,1 jt  per bulan ",15 hari yang lalu
1016,https://www.jobstreet.co.id//id/job/sales-executive-4072016?jobId=jobstreet-id-job-4072016&sectionRank=1017&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Sales Executive,PT Mitra Amertha Sejahtera,"Yogyakarta, Semarang, Kudus, Tegal, Jember, Surabaya, Makassar, Palu, Lampung, Jambi","IDR 4 jt - 5,5 jt  per bulan ",28 hari yang lalu
1017,https://www.jobstreet.co.id//id/job/qc-assistant-manager-semarang-4071345?jobId=jobstreet-id-job-4071345&sectionRank=1018&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,QC Assistant Manager (Semarang),VIVERE GROUP,Semarang,N/A,28 hari yang lalu
1018,https://www.jobstreet.co.id//id/job/perawat-project-medical-check-up-mcu-4075594?jobId=jobstreet-id-job-4075594&sectionRank=1019&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Perawat Project Medical Check Up (MCU),PT Sarana Usaha Sejahtera InsanPalapa (TelkoMedika),"Medan, Jakarta Raya, Bandung, Semarang, Surabaya, Makassar",N/A,26 hari yang lalu
1019,https://www.jobstreet.co.id//id/job/branch-manager-semarang-4072123?jobId=jobstreet-id-job-4072123&sectionRank=1020&token=0~666cbcb8-7e5f-412d-a94c-2179310875a0&fr=SRP%20View%20In%20New%20Tab,Branch Manager (Semarang),PT Pilindo Megah Selatan,Semarang,N/A,28 hari yang lalu
1020,https://www.jobstreet.co.id//id/job/staff-laundry-4076825?jobId=jobstreet-id-job-4076825&sectionRank=1021&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Staff Laundry,Lares Laundry,Semarang,N/A,25 hari yang lalu
1021,https://www.jobstreet.co.id//id/job/sales-manager-central-java-4073588?jobId=jobstreet-id-job-4073588&sectionRank=1022&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Sales Manager - Central Java,PT Easy Management Systems,Semarang,N/A,27 hari yang lalu
1022,https://www.jobstreet.co.id//id/job/sales-marketing-4077763?jobId=jobstreet-id-job-4077763&sectionRank=1023&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Sales Marketing,PT. BOENK COSMETIC MANUFACTURE,"Bali, Jawa Tengah, Bekasi, Bandung, Bogor, Jakarta Selatan, Medan",N/A,15 hari yang lalu
1023,https://www.jobstreet.co.id//id/job/area-sales-manager-jakarta-bandung-semarang-surabaya-4072357?jobId=jobstreet-id-job-4072357&sectionRank=1024&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,"AREA SALES MANAGER (JAKARTA, BANDUNG, SEMARANG, SURABAYA)",PT Citra Airindo Abadi,"Jakarta Raya, Semarang, Surabaya, Bandung",N/A,28 hari yang lalu
1024,https://www.jobstreet.co.id//id/job/supervisor-maintenance-4070893?jobId=jobstreet-id-job-4070893&sectionRank=1025&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Supervisor Maintenance,PT Erela,Semarang,N/A,29 hari yang lalu
1025,https://www.jobstreet.co.id//id/job/teller-4085564?jobId=jobstreet-id-job-4085564&sectionRank=1026&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Teller,PT Bank Ina Perdana Tbk,"Jakarta Raya, Jawa Tengah, Jawa Timur",N/A,18 hari yang lalu
1026,https://www.jobstreet.co.id//id/job/karyawan-toko-4090466?jobId=jobstreet-id-job-4090466&sectionRank=1027&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Karyawan Toko,Twin Donuts and Bakery,Jawa Tengah,N/A,13 hari yang lalu
1027,https://www.jobstreet.co.id//id/job/wordpress-developer-4076656?jobId=jobstreet-id-job-4076656&sectionRank=1028&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Wordpress Developer,PT. PERSOLKELLY Recruitment Indonesia,Semarang,N/A,25 hari yang lalu
1028,https://www.jobstreet.co.id//id/job/customer-service-4076414?jobId=jobstreet-id-job-4076414&sectionRank=1029&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Customer Service,Alien Apparel,Semarang,N/A,25 hari yang lalu
1029,https://www.jobstreet.co.id//id/job/dokter-umum-estetika-4103005?jobId=jobstreet-id-job-4103005&sectionRank=1030&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Dokter Umum Estetika,Lula Beauty Clinic,Jawa Tengah,N/A,5 hari yang lalu
1030,https://www.jobstreet.co.id//id/job/ppic-staff-4085694?jobId=jobstreet-id-job-4085694&sectionRank=1031&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,PPIC staff,Ribka Furniture,Jawa Tengah,N/A,18 hari yang lalu
1031,https://www.jobstreet.co.id//id/job/sales-marketing-4095191?jobId=jobstreet-id-job-4095191&sectionRank=1032&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Sales & Marketing,Omega foam,"Jawa Barat, Jawa Tengah, Tangerang","IDR 3,5 jt - 4,5 jt  per bulan ",10 hari yang lalu
1032,https://www.jobstreet.co.id//id/job/staff-r-d-analytical-development-4070895?jobId=jobstreet-id-job-4070895&sectionRank=1033&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Staff R&D Analytical Development,PT Erela,Semarang,N/A,29 hari yang lalu
1033,https://www.jobstreet.co.id//id/job/market-survey-4085595?jobId=jobstreet-id-job-4085595&sectionRank=1034&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Market Survey,PT Opac Barata,"Sumatera Utara, Pekanbaru, Jawa Barat, Jawa Tengah, Jawa Timur, Kalimantan Barat, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Timur, Sulawesi Utara",N/A,18 hari yang lalu
1034,https://www.jobstreet.co.id//id/job/architect-drafter-4095086?jobId=jobstreet-id-job-4095086&sectionRank=1035&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Architect Drafter,PT Bale Bolo,Jawa Tengah,"IDR 2 jt - 2,8 jt  per bulan ",11 hari yang lalu
1035,https://www.jobstreet.co.id//id/job/sales-representative-4071922?jobId=jobstreet-id-job-4071922&sectionRank=1036&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,SALES REPRESENTATIVE,PT Raja Besi Semarang,Semarang,N/A,28 hari yang lalu
1036,https://www.jobstreet.co.id//id/job/disposables-sales-4085577?jobId=jobstreet-id-job-4085577&sectionRank=1037&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Disposables Sales,PT Karindo Alkestron,"Jakarta Raya, Jawa Tengah, Yogyakarta","IDR 4,5 jt - 5 jt  per bulan ",15 hari yang lalu
1037,https://www.jobstreet.co.id//id/job/sales-force-semarang-4071886?jobId=jobstreet-id-job-4071886&sectionRank=1038&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Sales Force (Semarang),AGRO BOGA UTAMA GROUP,Semarang,N/A,28 hari yang lalu
1038,https://www.jobstreet.co.id//id/job/sales-executive-semarang-4071633?jobId=jobstreet-id-job-4071633&sectionRank=1039&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Sales Executive (Semarang),PT Star Cosmos,Semarang,N/A,28 hari yang lalu
1039,https://www.jobstreet.co.id//id/job/cook-4079481?jobId=jobstreet-id-job-4079481&sectionRank=1040&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Cook,Gama Candi Resto,Semarang,N/A,22 hari yang lalu
1040,https://www.jobstreet.co.id//id/job/business-and-marketing-director-4071431?jobId=jobstreet-id-job-4071431&sectionRank=1041&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Business and Marketing Director,Perusahaan Dirahasiakan,Semarang,N/A,Perusahaan Dirahasiakan
1041,https://www.jobstreet.co.id//id/job/operation-head-administration-head-banten-jakarta-jawa-barat-jawa-tengah-jawa-timur-4083028?jobId=jobstreet-id-job-4083028&sectionRank=1042&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,"Operation Head / Administration Head -  Banten, Jakarta, Jawa Barat, Jawa Tengah & Jawa Timur",PT Transpacific Finance,"Jakarta Raya, Jawa Barat, Jawa Tengah",N/A,19 hari yang lalu
1042,https://www.jobstreet.co.id//id/job/head-of-hospital-customer-service-unit-4071380?jobId=jobstreet-id-job-4071380&sectionRank=1043&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Head Of Hospital Customer Service Unit,Perusahaan Dirahasiakan,Semarang,N/A,Perusahaan Dirahasiakan
1043,https://www.jobstreet.co.id//id/job/junior-collection-field-4086491?jobId=jobstreet-id-job-4086491&sectionRank=1044&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Junior Collection Field,FIFGROUP,Jawa Tengah,"IDR 2,2 jt - 3,1 jt  per bulan ",16 hari yang lalu
1044,https://www.jobstreet.co.id//id/job/financial-service-consultant-semarang-4071877?jobId=jobstreet-id-job-4071877&sectionRank=1045&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,FINANCIAL SERVICE CONSULTANT (SEMARANG),PT Prudential Life Assurance  (Prudential Indonesia) -  Partnership Distribution,Semarang,N/A,28 hari yang lalu
1045,https://www.jobstreet.co.id//id/job/customer-service-representative-english-speaker-4071351?jobId=jobstreet-id-job-4071351&sectionRank=1046&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Customer Service Representative (English Speaker),PT Rajawali Berdikari Indonesia,"Jakarta Raya, Depok, Semarang",N/A,28 hari yang lalu
1046,https://www.jobstreet.co.id//id/job/teknisi-4077462?jobId=jobstreet-id-job-4077462&sectionRank=1047&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,TEKNISI,AC Tronic Semarang,Semarang,N/A,24 hari yang lalu
1047,https://www.jobstreet.co.id//id/job/translator-mandarin-4073764?jobId=jobstreet-id-job-4073764&sectionRank=1048&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Translator Mandarin,PT. Lesso Technology Indonesia,Jawa Tengah,"IDR 4 jt - 4,5 jt  per bulan ",12 hari yang lalu
1048,https://www.jobstreet.co.id//id/job/warehouse-shipper-staff-4083379?jobId=jobstreet-id-job-4083379&sectionRank=1049&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Warehouse Shipper Staff,PT Maju Bersama Gemilang,Jawa Tengah,N/A,19 hari yang lalu
1049,https://www.jobstreet.co.id//id/job/channel-relation-executive-4083591?jobId=jobstreet-id-job-4083591&sectionRank=1050&token=0~20b1a2d4-4281-4065-a36d-84c06ea4c0d1&fr=SRP%20View%20In%20New%20Tab,Channel Relation Executive,"PT Tera Data Indonusa, Tbk","Denpasar, Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Banjarmasin, Balikpapan, Ambon, Palembang",N/A,19 hari yang lalu
1050,https://www.jobstreet.co.id//id/job/program-pendidikan-area-sales-manager-4084933?jobId=jobstreet-id-job-4084933&sectionRank=1051&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Program Pendidikan Area Sales Manager,PT Wismilak Inti Makmur Tbk,"Surabaya, Jawa Barat, Jawa Tengah, Sumatera Utara, Sumatera Selatan, Kalimantan Barat, Kalimantan Selatan",N/A,18 hari yang lalu
1051,https://www.jobstreet.co.id//id/job/field-account-consultant-bca-finance-cilacap-4084521?jobId=jobstreet-id-job-4084521&sectionRank=1052&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Field Account Consultant - BCA Finance Cilacap,PT BCA Finance,Jawa Tengah,N/A,19 hari yang lalu
1052,https://www.jobstreet.co.id//id/job/bussines-officer-4092832?jobId=jobstreet-id-job-4092832&sectionRank=1053&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Bussines Officer,PT.BINA ARTHA VENTURA SRAGEN,Jawa Tengah,N/A,12 hari yang lalu
1053,https://www.jobstreet.co.id//id/job/dokter-project-medical-check-up-4074813?jobId=jobstreet-id-job-4074813&sectionRank=1054&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Dokter Project Medical Check Up,PT Sarana Usaha Sejahtera InsanPalapa (TelkoMedika),"Jakarta Pusat, Medan, Bandung, Semarang, Surabaya, Makassar",N/A,26 hari yang lalu
1054,https://www.jobstreet.co.id//id/job/warehouse-supervisor-pati-solo-4085663?jobId=jobstreet-id-job-4085663&sectionRank=1055&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Warehouse Supervisor - Pati & Solo,PT Agri Pintar Asia,Jawa Tengah,N/A,18 hari yang lalu
1055,https://www.jobstreet.co.id//id/job/warehouse-manager-pati-4084722?jobId=jobstreet-id-job-4084722&sectionRank=1056&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Warehouse Manager - Pati,PT Agri Pintar Asia,Jawa Tengah,N/A,18 hari yang lalu
1056,https://www.jobstreet.co.id//id/job/kepala-toko-4090588?jobId=jobstreet-id-job-4090588&sectionRank=1057&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,KEPALA TOKO,PT. Toko Pangan Indonesia,Jawa Tengah,N/A,13 hari yang lalu
1057,https://www.jobstreet.co.id//id/job/area-sales-manager-jawa-tengah-4081625?jobId=jobstreet-id-job-4081625&sectionRank=1058&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,AREA SALES MANAGER JAWA TENGAH,PT Eka Jaya Internasional,Jawa Tengah,N/A,20 hari yang lalu
1058,https://www.jobstreet.co.id//id/job/sales-marketing-4085922?jobId=jobstreet-id-job-4085922&sectionRank=1059&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,SALES & MARKETING,PT Indocare Citrapasific,"Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Sulawesi Selatan, Sumatera Selatan, Sumatera Utara, Kalimantan Barat",N/A,18 hari yang lalu
1059,https://www.jobstreet.co.id//id/job/sap-staff-jawa-tengah-4083288?jobId=jobstreet-id-job-4083288&sectionRank=1060&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,SAP STAFF (JAWA TENGAH),"PT Pan Brothers, Tbk",Jawa Tengah,N/A,19 hari yang lalu
1060,https://www.jobstreet.co.id//id/job/drafter-arsitektur-dan-interior-4094952?jobId=jobstreet-id-job-4094952&sectionRank=1061&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Drafter Arsitektur dan Interior,Konstruksi dan Property,Jawa Tengah,"IDR 3,5 jt - 5 jt  per bulan ",11 hari yang lalu
1061,https://www.jobstreet.co.id//id/job/supervisor-payroll-4077185?jobId=jobstreet-id-job-4077185&sectionRank=1062&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Supervisor Payroll,PT Focon Interlite Semarang,Semarang,N/A,25 hari yang lalu
1062,https://www.jobstreet.co.id//id/job/operations-trainer-shopee-xpress-jawa-tengah-4079904?jobId=jobstreet-id-job-4079904&sectionRank=1063&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Operations Trainer - Shopee Xpress (Jawa Tengah),Shopee Internasional Indonesia,Jawa Tengah,N/A,21 hari yang lalu
1063,https://www.jobstreet.co.id//id/job/shipping-staff-2-positions-4081497?jobId=jobstreet-id-job-4081497&sectionRank=1064&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Shipping Staff (2 Positions),PT Hollit International,"Jakarta Selatan, Jawa Tengah",N/A,20 hari yang lalu
1064,https://www.jobstreet.co.id//id/job/supervisor-tenant-relation-4078096?jobId=jobstreet-id-job-4078096&sectionRank=1065&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Supervisor Tenant Relation,PT Agung Sejahtera Sidoraharjatex,Jawa Tengah,N/A,22 hari yang lalu
1065,https://www.jobstreet.co.id//id/job/sewing-training-manager-garment-industry-4072666?jobId=jobstreet-id-job-4072666&sectionRank=1066&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Sewing Training Manager (Garment Industry),PT Bali Moda Busana,Jawa Tengah,IDR 10 jt - 15 jt  per bulan ,18 hari yang lalu
1066,https://www.jobstreet.co.id//id/job/guru-4094039?jobId=jobstreet-id-job-4094039&sectionRank=1067&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,GURU,NTC Kursus Inggris,Jawa Tengah,N/A,11 hari yang lalu
1067,https://www.jobstreet.co.id//id/job/technical-support-marketing-alat-kesehatan-4084723?jobId=jobstreet-id-job-4084723&sectionRank=1068&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Technical Support & Marketing (Alat Kesehatan),PT Biotek Inti Korporindo,"Jakarta Raya, Jawa Barat, Jawa Tengah",IDR 5 jt - 7 jt  per bulan ,18 hari yang lalu
1068,https://www.jobstreet.co.id//id/job/management-trainee-4082370?jobId=jobstreet-id-job-4082370&sectionRank=1069&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Management Trainee,SPS Corporate,"Jawa Timur, Jawa Tengah, Jawa Barat, Nusa Tenggara Barat",N/A,20 hari yang lalu
1069,https://www.jobstreet.co.id//id/job/akunting-administrasi-pajak-4078107?jobId=jobstreet-id-job-4078107&sectionRank=1070&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Akunting & Administrasi Pajak,CV Mutiara Berlian,Jawa Tengah,N/A,22 hari yang lalu
1070,https://www.jobstreet.co.id//id/job/guru-4094101?jobId=jobstreet-id-job-4094101&sectionRank=1071&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Guru,Pesantren Alam Sabilul Huda,Jawa Tengah,N/A,11 hari yang lalu
1071,https://www.jobstreet.co.id//id/job/mobile-service-klaten-dan-boyolali-4085674?jobId=jobstreet-id-job-4085674&sectionRank=1072&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,MOBILE SERVICE - KLATEN DAN BOYOLALI,PT Exa Mitra Solusi,Jawa Tengah,N/A,18 hari yang lalu
1072,https://www.jobstreet.co.id//id/job/mandarin-to-indonesian-language-work-from-home-novel-translator-5162373/origin/my?jobId=jobstreet-my-job-5162373&sectionRank=1073&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Mandarin to Indonesian Language Work From Home Novel Translator,Perthro Tales Trading,"Aceh, Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Kalimantan Barat, Kalimantan Selatan, Kalimantan Tengah, Kalimantan Timur, Maluku","IDR 3,1 jt - 4,3 jt  per bulan ",17 hari yang lalu
1073,https://www.jobstreet.co.id//id/job/management-trainee-4081763?jobId=jobstreet-id-job-4081763&sectionRank=1074&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,Management Trainee,PT Maju Bersama Gemilang,Jawa Tengah,N/A,20 hari yang lalu
1074,https://www.jobstreet.co.id//id/job/qa-qc-staff-4079853?jobId=jobstreet-id-job-4079853&sectionRank=1075&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,QA/QC Staff,PT Ara Shoes Indonesia,Jawa Tengah,N/A,21 hari yang lalu
1075,https://www.jobstreet.co.id//id/job/arsitek-4069094?jobId=jobstreet-id-job-4069094&sectionRank=1076&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,ARSITEK,Firmana Propertindo,Semarang,N/A,30 hari yang lalu
1076,https://www.jobstreet.co.id//id/job/bancassurance-consultant-semarang-yogyakarta-solo-pekalongan-4070802?jobId=jobstreet-id-job-4070802&sectionRank=1077&token=0~ce9df001-3082-418f-bb32-0b9b4bfc825b&fr=SRP%20View%20In%20New%20Tab,"Bancassurance Consultant (Semarang, Yogyakarta, Solo, Pekalongan)",PT Asuransi Jiwa Sinarmas MSIG Tbk.,"Pekalongan, Semarang, Surakarta, Yogyakarta",N/A,29 hari yang lalu
